date,province,new_cases,new_deaths,new_recoveries,new_hospitalizations,total_cases,total_deaths,total_recoveries,total_hospitalizations
2020-03-06,Banten,1,0,1,0,1,1,0,0
2020-03-07,Banten,0,0,0,0,1,1,0,0
2020-03-08,Banten,1,0,3,-2,2,4,0,-2
2020-03-09,Banten,0,0,0,0,2,4,0,-2
2020-03-10,Banten,0,0,8,-8,2,12,0,-10
2020-03-11,Banten,0,0,8,-8,2,20,0,-18
2020-03-12,Banten,0,1,2,-3,2,22,1,-21
2020-03-13,Banten,1,1,0,0,3,22,2,-21
2020-03-14,Banten,1,0,2,-1,4,24,2,-22
2020-03-15,Banten,1,0,5,-4,5,29,2,-26
2020-03-16,Banten,1,0,4,-3,6,33,2,-29
2020-03-17,Banten,0,1,3,-4,6,36,3,-33
2020-03-18,Banten,0,1,1,-2,6,37,4,-35
2020-03-19,Banten,0,1,3,-4,6,40,5,-39
2020-03-20,Banten,0,3,3,-6,6,43,8,-45
2020-03-21,Banten,0,0,2,-2,6,45,8,-47
2020-03-22,Banten,0,2,0,-2,6,45,10,-49
2020-03-23,Banten,0,2,3,-5,6,48,12,-54
2020-03-24,Banten,0,1,3,-4,6,51,13,-58
2020-03-25,Banten,0,1,3,-4,6,54,14,-62
2020-03-26,Banten,0,0,4,-4,6,58,14,-66
2020-03-27,Banten,25,2,3,20,31,61,16,-46
2020-03-28,Banten,10,2,7,1,41,68,18,-45
2020-03-29,Banten,2,2,2,-2,43,70,20,-47
2020-03-30,Banten,22,0,3,19,65,73,20,-28
2020-03-31,Banten,14,2,1,11,79,74,22,-17
2020-04-01,Banten,12,1,6,5,91,80,23,-12
2020-04-02,Banten,6,2,1,3,97,81,25,-9
2020-04-03,Banten,4,0,4,0,101,85,25,-9
2020-04-04,Banten,3,2,2,-1,104,87,27,-10
2020-04-05,Banten,4,2,4,-2,108,91,29,-12
2020-04-06,Banten,11,2,8,1,119,99,31,-11
2020-04-07,Banten,6,0,4,2,125,103,31,-9
2020-04-08,Banten,19,0,6,13,144,109,31,4
2020-04-09,Banten,4,3,10,-9,148,119,34,-5
2020-04-10,Banten,21,1,4,16,169,123,35,11
2020-04-11,Banten,31,2,19,10,200,142,37,21
2020-04-12,Banten,2,1,7,-6,202,149,38,15
2020-04-13,Banten,4,2,9,-7,206,158,40,8
2020-04-14,Banten,6,2,3,1,212,161,42,9
2020-04-15,Banten,1,1,8,-8,213,169,43,1
2020-04-16,Banten,15,0,4,11,228,173,43,12
2020-04-17,Banten,9,1,8,0,237,181,44,12
2020-04-18,Banten,12,1,4,7,249,185,45,19
2020-04-19,Banten,3,0,4,-1,252,189,45,18
2020-04-20,Banten,30,0,8,22,282,197,45,40
2020-04-21,Banten,0,4,6,-10,282,203,49,30
2020-04-22,Banten,3,0,7,-4,285,210,49,26
2020-04-23,Banten,3,0,1,2,288,211,49,28
2020-04-24,Banten,23,0,2,21,311,213,49,49
2020-04-25,Banten,11,2,2,7,322,215,51,56
2020-04-26,Banten,0,4,1,-5,322,216,55,51
2020-04-27,Banten,12,1,5,6,334,221,56,57
2020-04-28,Banten,6,0,3,3,340,224,56,60
2020-04-29,Banten,0,0,11,-11,340,235,56,49
2020-04-30,Banten,16,0,9,7,356,244,56,56
2020-05-01,Banten,15,0,3,12,371,247,56,68
2020-05-02,Banten,9,1,9,-1,380,256,57,67
2020-05-03,Banten,5,0,1,4,385,257,57,71
2020-05-04,Banten,14,0,9,5,399,266,57,76
2020-05-05,Banten,12,2,19,-9,411,285,59,67
2020-05-06,Banten,29,0,4,25,440,289,59,92
2020-05-07,Banten,0,0,3,-3,440,292,59,89
2020-05-08,Banten,20,1,7,12,460,299,60,101
2020-05-09,Banten,22,1,5,16,482,304,61,117
2020-05-10,Banten,10,0,7,3,492,311,61,120
2020-05-11,Banten,8,0,5,3,500,316,61,123
2020-05-12,Banten,18,0,5,13,518,321,61,136
2020-05-13,Banten,20,0,6,14,538,327,61,150
2020-05-14,Banten,14,2,16,-4,552,343,63,146
2020-05-15,Banten,28,0,18,10,580,361,63,156
2020-05-16,Banten,0,0,9,-9,580,370,63,147
2020-05-17,Banten,24,0,9,15,604,379,63,162
2020-05-18,Banten,31,0,18,13,635,397,63,175
2020-05-19,Banten,21,0,15,6,656,412,63,181
2020-05-20,Banten,1,0,30,-29,657,442,63,152
2020-05-21,Banten,53,1,8,44,710,450,64,196
2020-05-22,Banten,15,1,7,7,725,457,65,203
2020-05-23,Banten,0,0,6,-6,725,463,65,197
2020-05-24,Banten,21,0,4,17,746,467,65,214
2020-05-25,Banten,0,0,6,-6,746,473,65,208
2020-05-26,Banten,18,0,10,8,764,483,65,216
2020-05-27,Banten,11,0,10,1,775,493,65,217
2020-05-28,Banten,14,3,19,-8,789,512,68,209
2020-05-29,Banten,13,0,12,1,802,524,68,210
2020-05-30,Banten,14,0,25,-11,816,549,68,199
2020-05-31,Banten,3,0,0,3,819,549,68,202
2020-06-01,Banten,7,1,11,-5,826,560,69,197
2020-06-02,Banten,14,0,21,-7,840,581,69,190
2020-06-03,Banten,71,0,25,46,911,606,69,236
2020-06-04,Banten,10,0,11,-1,921,617,69,235
2020-06-05,Banten,24,1,25,-2,945,642,70,233
2020-06-06,Banten,36,1,6,29,981,648,71,262
2020-06-07,Banten,10,1,2,7,991,650,72,269
2020-06-08,Banten,11,1,5,5,1002,655,73,274
2020-06-09,Banten,16,1,8,7,1018,663,74,281
2020-06-10,Banten,33,0,46,-13,1051,709,74,268
2020-06-11,Banten,25,0,25,0,1076,734,74,268
2020-06-12,Banten,35,0,12,23,1111,746,74,291
2020-06-13,Banten,74,1,2,71,1185,748,75,362
2020-06-14,Banten,9,0,8,1,1194,756,75,363
2020-06-15,Banten,4,0,25,-21,1198,781,75,342
2020-06-16,Banten,37,0,9,28,1235,790,75,370
2020-06-17,Banten,31,0,25,6,1266,815,75,376
2020-06-18,Banten,17,0,16,1,1283,831,75,377
2020-06-19,Banten,5,0,24,-19,1288,855,75,358
2020-06-20,Banten,16,0,14,2,1304,869,75,360
2020-06-21,Banten,9,0,6,3,1313,875,75,363
2020-06-22,Banten,8,1,21,-14,1321,896,76,349
2020-06-23,Banten,11,0,15,-4,1332,911,76,345
2020-06-24,Banten,20,1,36,-17,1352,947,77,328
2020-06-25,Banten,17,0,6,11,1369,953,77,339
2020-06-26,Banten,13,0,6,7,1382,959,77,346
